Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahrain,BHR,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,95.342,95.342,95.342,113.677,113.677,517.047,594.054,671.061,979.089,2170.864,3076.613,3795.345,3993.363,4184.047,4543.413,4990.787,5397.824,5599.509,5650.847,6215.565,6563.93,6813.286,8247.083,9383.853,8995.151,9603.873,10010.91,10461.951,9944.904,9944.904,12519.138,12262.448,13054.52,13465.224,14502.985,15287.723,15841.44,16156.802,11958.087,12592.478,12984.847,13505.561,14304.967,15559.081,20883.565,22988.423,24194.866,24554.232,24304.876,24414.886,26200.715,28375.246,28261.569,27194.472
"Bahamas, The",BHS,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.405,267.691,322.696,282.359,473.043,282.359,322.696,330.03,458.375,300.694,282.359,370.367,583.053,693.063,729.733,770.07,762.736,436.373,458.375,520.714,480.377,374.034,348.365,407.037,421.705
Belarus,BLR,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33941.752,32284.268,27880.201,26318.059,27737.188,31558.202,30953.147,31994.575,32658.302,33102.009,33703.397,35078.522,38045.125,38804.194,39511.925,39742.946,40524.017,33652.059,41569.112,39357.911,38701.518,39071.885,38738.188,36266.63,36042.943
Belize,BLZ,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.001,11.001,7.334,7.334,3.667,3.667,3.667
Bermuda,BMU,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,11.001,84.341,80.674,84.341,91.675,106.343,132.012,139.346,128.345,190.684,62.339,69.673,99.009,117.344,286.026,249.356,304.361,337.364,645.392,678.395,667.394,674.728,667.394,605.055,465.709,421.705,462.042,605.055,594.054,865.412,1437.464,1507.137,1822.499,1881.171,2207.534,2453.223,2794.254,3369.973,2882.262,3105.949,5364.821,2702.579,4506.743,4070.37,3989.696,4514.077,7451.344,4140.043,4770.767,5031.124,5727.854,6127.557,6772.949,7051.641,7656.696,7869.382,8668.788
Brazil,BRA,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,113.677,113.677,110.01,165.015,161.348,194.351,245.689,256.69,231.021,234.688,154.014,249.356,275.025,377.701,693.063,781.071,916.75,1133.103,1485.135,1631.815,1884.838,1686.82,2383.55,3380.974,4173.046,4998.121,5991.878,6644.604,6846.289,7311.998,7425.675,7264.327,7803.376,8522.108,8841.137,9486.529,10630.633,11800.406,12383.459,13923.599,18023.305,22900.415,28349.577,29211.322,36097.948,38279.813,40072.976,40579.022,48569.415,39156.226,52702.124,50523.926,59874.776,71136.133,78096.099,77241.688,66116.01
Barbados,BRB,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,3.667,7.334,7.334,7.334,7.334,7.334,7.334,7.334,7.334,7.334,7.334,7.334,3.667,7.334,3.667,3.667,7.334,7.334,18.335,22.002,25.669,14.668,18.335,22.002,36.67,47.671,51.338,44.004,51.338,55.005,51.338,44.004,36.67,36.67,36.67,33.003,29.336,36.67,33.003,44.004,36.67,29.336,29.336,29.336,29.336,29.336,36.67,36.67,33.003,33.003,29.336,33.003,36.67,44.004,25.669,33.003,33.003
Brunei Darussalam,BRN,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,304.361,275.025,293.36,300.694,267.691,326.363,289.693,293.36,286.026,322.696,388.702,363.033,737.067,861.745,1367.791,1518.138,1023.093,1789.496,3604.661,3476.316,2904.264,1184.441,1177.107,1312.786,1096.433,1235.779,942.419,2079.189,4066.703,4723.096,4594.751,2467.891,2805.255,2772.252,2629.239,2735.582,2827.257,2933.6,3050.944,1668.485,3047.277,2907.931,2852.926,2904.264,3245.295,3285.632,3241.628,5944.207,6497.924,5603.176,6131.224,7293.663,7121.314,5628.845,6776.616,4895.445,5342.819
